Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite01,Chrome 67.0.3396.99,,2018-08-02 14:50:38,2018-08-02 14:51:21,42.601s,PASSED
,,,,,,
Test Cases/TC_Login,Chrome 67.0.3396.99,,2018-08-02 14:50:39,2018-08-02 14:50:44,5.102s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-02 14:50:39,2018-08-02 14:50:42,2.721s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-02 14:50:42,2018-08-02 14:50:43,1.541s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-02 14:50:43,2018-08-02 14:50:43,0.136s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-08-02 14:50:43,2018-08-02 14:50:44,0.263s,PASSED
click,Chrome 67.0.3396.99,,2018-08-02 14:50:44,2018-08-02 14:50:44,0.155s,PASSED
click,Chrome 67.0.3396.99,,2018-08-02 14:50:44,2018-08-02 14:50:44,0.080s,PASSED
,,,,,,
Test Cases/TC_Login,Chrome 67.0.3396.99,,2018-08-02 14:50:44,2018-08-02 14:50:50,5.883s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-02 14:50:44,2018-08-02 14:50:47,3.099s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-02 14:50:47,2018-08-02 14:50:49,2.220s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-02 14:50:49,2018-08-02 14:50:49,0.117s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-08-02 14:50:49,2018-08-02 14:50:49,0.094s,PASSED
click,Chrome 67.0.3396.99,,2018-08-02 14:50:49,2018-08-02 14:50:50,0.187s,PASSED
click,Chrome 67.0.3396.99,,2018-08-02 14:50:50,2018-08-02 14:50:50,0.158s,PASSED
,,,,,,
Test Cases/TC_Login,Chrome 67.0.3396.99,,2018-08-02 14:50:50,2018-08-02 14:50:55,5.588s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-02 14:50:50,2018-08-02 14:50:54,3.742s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-02 14:50:54,2018-08-02 14:50:55,1.147s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-02 14:50:55,2018-08-02 14:50:55,0.101s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-08-02 14:50:55,2018-08-02 14:50:55,0.080s,PASSED
click,Chrome 67.0.3396.99,,2018-08-02 14:50:55,2018-08-02 14:50:55,0.431s,PASSED
click,Chrome 67.0.3396.99,,2018-08-02 14:50:55,2018-08-02 14:50:55,0.080s,PASSED
,,,,,,
Test Cases/TC_Login,Chrome 67.0.3396.99,,2018-08-02 14:50:55,2018-08-02 14:51:02,6.621s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-02 14:50:55,2018-08-02 14:50:59,3.368s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-02 14:50:59,2018-08-02 14:51:02,2.842s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-02 14:51:02,2018-08-02 14:51:02,0.104s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-08-02 14:51:02,2018-08-02 14:51:02,0.079s,PASSED
